,Unnamed: 0,title,userId,rating
0,0.0,10 Items or Less,15,3.0
1,1.0,10 Items or Less,23,4.0
2,2.0,10 Items or Less,131,4.0
3,3.0,10 Items or Less,132,4.5
4,4.0,10 Items or Less,283,5.0
5,5.0,10 Items or Less,363,4.0
6,6.0,10 Items or Less,427,5.0
7,7.0,10 Items or Less,452,4.0
8,8.0,10 Items or Less,547,5.0
9,9.0,10 Items or Less,558,5.0
10,10.0,10 Items or Less,576,4.0
11,11.0,2 Days in Paris,15,4.0
12,12.0,2 Days in Paris,118,4.0
13,13.0,2 Days in Paris,242,5.0
14,14.0,2 Days in Paris,367,2.0
15,15.0,2 Days in Paris,388,4.0
16,16.0,2 Days in Paris,472,5.0
17,17.0,2 Days in Paris,509,4.0
18,18.0,2 Days in Paris,518,4.0
19,19.0,2 Days in Paris,528,3.5
20,20.0,2 Days in Paris,564,4.0
21,21.0,2 Days in Paris,597,5.0
22,22.0,2 Days in Paris,652,5.0
23,23.0,"20,000 Leagues Under the Sea",4,3.0
24,24.0,"20,000 Leagues Under the Sea",6,2.0
25,25.0,"20,000 Leagues Under the Sea",22,1.5
26,26.0,"20,000 Leagues Under the Sea",32,3.0
27,27.0,"20,000 Leagues Under the Sea",41,4.0
28,28.0,"20,000 Leagues Under the Sea",47,5.0
29,29.0,"20,000 Leagues Under the Sea",49,2.0
30,30.0,"20,000 Leagues Under the Sea",60,3.5
31,31.0,"20,000 Leagues Under the Sea",73,3.0
32,32.0,"20,000 Leagues Under the Sea",77,2.5
33,33.0,"20,000 Leagues Under the Sea",85,4.0
34,34.0,"20,000 Leagues Under the Sea",92,3.0
35,35.0,"20,000 Leagues Under the Sea",105,2.0
36,36.0,"20,000 Leagues Under the Sea",110,3.0
37,37.0,"20,000 Leagues Under the Sea",119,1.0
38,38.0,"20,000 Leagues Under the Sea",130,1.0
39,39.0,"20,000 Leagues Under the Sea",143,2.0
40,40.0,"20,000 Leagues Under the Sea",151,1.0
41,41.0,"20,000 Leagues Under the Sea",161,3.0
42,42.0,"20,000 Leagues Under the Sea",165,1.5
43,43.0,"20,000 Leagues Under the Sea",168,1.0
44,44.0,"20,000 Leagues Under the Sea",177,3.0
45,45.0,"20,000 Leagues Under the Sea",188,3.0
46,46.0,"20,000 Leagues Under the Sea",194,3.0
47,47.0,"20,000 Leagues Under the Sea",199,4.0
48,48.0,"20,000 Leagues Under the Sea",212,1.5
49,49.0,"20,000 Leagues Under the Sea",213,2.0
50,50.0,"20,000 Leagues Under the Sea",221,2.5
51,51.0,"20,000 Leagues Under the Sea",224,4.0
52,52.0,"20,000 Leagues Under the Sea",243,2.5
53,53.0,"20,000 Leagues Under the Sea",253,2.0
54,54.0,"20,000 Leagues Under the Sea",254,3.0
55,55.0,"20,000 Leagues Under the Sea",268,2.5
